symbol,ds,current_variable_debt
USDC,2021-05-20,2832064692.124057
USDC,2021-05-19,2844994885.467528
USDC,2021-05-18,3344239436.481792
USDC,2021-05-17,3252781601.229161
USDC,2021-05-16,3269865621.148097
USDC,2021-05-15,3292850805.891408
USDC,2021-05-14,3396133908.979525
USDC,2021-05-13,3664642235.218117
USDC,2021-05-12,2844160455.971882
USDC,2021-05-11,3796915479.259817
USDC,2021-05-10,3683641621.824405
USDC,2021-05-09,3678144265.988237
USDC,2021-05-08,3644430752.939416
USDC,2021-05-07,3619281684.565373
USDC,2021-05-06,3543094236.224335
USDC,2021-05-05,3522423515.185614
USDC,2021-05-04,3736081249.71291
USDC,2021-05-03,3699937498.819649
USDC,2021-05-02,3578757179.433089
USDC,2021-05-01,3583528344.431681
USDC,2021-04-30,3519362441.405235
USDC,2021-04-29,3508862575.384876
USDC,2021-04-28,3496319290.840127
USDC,2021-04-27,3496995199.376732
USDC,2021-04-26,3497282933.906034
USDC,2021-04-25,3506720974.709636
USDC,2021-04-24,3501051599.137943
USDC,2021-04-23,3594220419.301735
USDC,2021-04-22,3729816550.169943
USDC,2021-04-21,3699429308.606372
USDC,2021-04-20,2873783798.131792
USDC,2021-04-19,2866990760.580689
USDC,2021-04-18,2854708910.981243
USDC,2021-04-17,3466980641.837391
USDC,2021-04-16,3520861302.09148
USDC,2021-04-15,3527182130.8996
USDC,2021-04-14,3452277363.449008
USDC,2021-04-13,3332323680.198315
USDC,2021-04-12,2838264337.542788
USDC,2021-04-11,2755675266.759456
USDC,2021-04-10,2718315766.758081
USDC,2021-04-09,2702064872.943022
USDC,2021-04-08,2655351567.424972
USDC,2021-04-07,2627289498.703219
USDC,2021-04-06,2677068230.046659
USDC,2021-04-05,2610815834.96679
USDC,2021-04-04,2628835941.40474
USDC,2021-04-03,2606261900.215838
USDC,2021-04-02,2444614261.351793
USDC,2021-04-01,2434993646.993894
USDC,2021-03-31,2393831081.652142
USDC,2021-03-30,2383182521.684238
USDC,2021-03-29,2378128273.002062
USDC,2021-03-28,2333608367.135122
USDC,2021-03-27,2339171608.972272
USDC,2021-03-26,2428714874.457117
USDC,2021-03-25,2398553254.202831
USDC,2021-03-24,2427272676.533966
USDC,2021-03-23,2333516631.502113
USDC,2021-03-22,2230513026.293258
USDC,2021-03-21,2257472210.191493
USDC,2021-03-20,2321109636.689279
USDC,2021-03-19,2214318619.319347
USDC,2021-03-18,2153542506.820205
USDC,2021-03-17,2128507379.314805
USDC,2021-03-16,2033015993.616629
USDC,2021-03-15,1988560914.184847
USDC,2021-03-14,1962404868.371223
USDC,2021-03-13,1896115571.019772
